# y+ ()       
# Time        	patch         	min           	max           	average       
106           	trup	9.719843e+00	3.890157e+02	7.084712e+01
107           	trup	9.769020e+00	3.889380e+02	7.071962e+01
108           	trup	9.818974e+00	3.888605e+02	7.059320e+01
109           	trup	9.869701e+00	3.887825e+02	7.046784e+01
110           	trup	9.921202e+00	3.887046e+02	7.034356e+01
111           	trup	9.973495e+00	3.886263e+02	7.022033e+01
112           	trup	1.002658e+01	3.885480e+02	7.009816e+01
113           	trup	1.008047e+01	3.884696e+02	6.997704e+01
114           	trup	1.013514e+01	3.883913e+02	6.985696e+01
115           	trup	1.019053e+01	3.883128e+02	6.973792e+01
116           	trup	1.024658e+01	3.882349e+02	6.961991e+01
117           	trup	1.030320e+01	3.881567e+02	6.950292e+01
118           	trup	1.036028e+01	3.880791e+02	6.938695e+01
119           	trup	1.041771e+01	3.880019e+02	6.927200e+01
120           	trup	1.047539e+01	3.879254e+02	6.915805e+01
121           	trup	1.053324e+01	3.878495e+02	6.904511e+01
122           	trup	1.059114e+01	3.877749e+02	6.893316e+01
123           	trup	1.064900e+01	3.877011e+02	6.882221e+01
124           	trup	1.070670e+01	3.876285e+02	6.871224e+01
125           	trup	1.076412e+01	3.875839e+02	6.860326e+01
126           	trup	1.082112e+01	3.875558e+02	6.849525e+01
127           	trup	1.087754e+01	3.875293e+02	6.838822e+01
128           	trup	1.093322e+01	3.875044e+02	6.828216e+01
129           	trup	1.098801e+01	3.874810e+02	6.817706e+01
130           	trup	1.104173e+01	3.874588e+02	6.807292e+01
131           	trup	1.109423e+01	3.874378e+02	6.796973e+01
132           	trup	1.114537e+01	3.874179e+02	6.786750e+01
133           	trup	1.119498e+01	3.873988e+02	6.776620e+01
134           	trup	1.124295e+01	3.873805e+02	6.766585e+01
135           	trup	1.128912e+01	3.873627e+02	6.756644e+01
136           	trup	1.133338e+01	3.873454e+02	6.746796e+01
137           	trup	1.137561e+01	3.873285e+02	6.737040e+01
138           	trup	1.141495e+01	3.873118e+02	6.727376e+01
139           	trup	1.144723e+01	3.872953e+02	6.717805e+01
140           	trup	1.147304e+01	3.872788e+02	6.708324e+01
141           	trup	1.149230e+01	3.872622e+02	6.698934e+01
142           	trup	1.139346e+01	3.872454e+02	6.689635e+01
143           	trup	1.104500e+01	3.872284e+02	6.680426e+01
144           	trup	1.069862e+01	3.872112e+02	6.671306e+01
145           	trup	1.035514e+01	3.871935e+02	6.662275e+01
146           	trup	1.001562e+01	3.871753e+02	6.653333e+01
147           	trup	9.681306e+00	3.871567e+02	6.644480e+01
148           	trup	9.353681e+00	3.871375e+02	6.635714e+01
149           	trup	9.034714e+00	3.871177e+02	6.627036e+01
150           	trup	8.728036e+00	3.870974e+02	6.618446e+01
151           	trup	8.437930e+00	3.870764e+02	6.609942e+01
152           	trup	8.168583e+00	3.870548e+02	6.601525e+01
153           	trup	7.923688e+00	3.870325e+02	6.593194e+01
154           	trup	7.706453e+00	3.870096e+02	6.584949e+01
155           	trup	7.520633e+00	3.869861e+02	6.576790e+01
156           	trup	7.369881e+00	3.869620e+02	6.568716e+01
157           	trup	7.258399e+00	3.869374e+02	6.560727e+01
158           	trup	7.190473e+00	3.869122e+02	6.552822e+01
159           	trup	7.170082e+00	3.868864e+02	6.545002e+01
160           	trup	7.200254e+00	3.868602e+02	6.537265e+01
161           	trup	7.286441e+00	3.868335e+02	6.529612e+01
162           	trup	7.433782e+00	3.868065e+02	6.522042e+01
163           	trup	7.515316e+00	3.867791e+02	6.514555e+01
164           	trup	7.355917e+00	3.867515e+02	6.507151e+01
165           	trup	7.224592e+00	3.867236e+02	6.499829e+01
166           	trup	7.124718e+00	3.866956e+02	6.492589e+01
167           	trup	7.054444e+00	3.866675e+02	6.485431e+01
168           	trup	7.026456e+00	3.866393e+02	6.478354e+01
169           	trup	7.049207e+00	3.866111e+02	6.471358e+01
170           	trup	7.127724e+00	3.865829e+02	6.464443e+01
171           	trup	7.265112e+00	3.865549e+02	6.457609e+01
172           	trup	7.463016e+00	3.865270e+02	6.450854e+01
173           	trup	7.721384e+00	3.864994e+02	6.444178e+01
174           	trup	8.038456e+00	3.864722e+02	6.437581e+01
175           	trup	8.409025e+00	3.864452e+02	6.431062e+01
176           	trup	8.827071e+00	3.864187e+02	6.424622e+01
177           	trup	9.287543e+00	3.863927e+02	6.418258e+01
178           	trup	9.793676e+00	3.863673e+02	6.411972e+01
179           	trup	1.034586e+01	3.863424e+02	6.405762e+01
180           	trup	1.093612e+01	3.863181e+02	6.399628e+01
181           	trup	1.143843e+01	3.862944e+02	6.393570e+01
182           	trup	1.146362e+01	3.862716e+02	6.387587e+01
183           	trup	1.148907e+01	3.862494e+02	6.381679e+01
184           	trup	1.151463e+01	3.862282e+02	6.375845e+01
185           	trup	1.154041e+01	3.862078e+02	6.370085e+01
186           	trup	1.156659e+01	3.861883e+02	6.364399e+01
187           	trup	1.159335e+01	3.861698e+02	6.358787e+01
188           	trup	1.162091e+01	3.861524e+02	6.353247e+01
189           	trup	1.164933e+01	3.861360e+02	6.347781e+01
190           	trup	1.167883e+01	3.861207e+02	6.342387e+01
191           	trup	1.170936e+01	3.861065e+02	6.337065e+01
192           	trup	1.174083e+01	3.860935e+02	6.331815e+01
193           	trup	1.177313e+01	3.860817e+02	6.326635e+01
194           	trup	1.180613e+01	3.860711e+02	6.321526e+01
195           	trup	1.183965e+01	3.860617e+02	6.316486e+01
196           	trup	1.187355e+01	3.860535e+02	6.311517e+01
197           	trup	1.137375e+01	3.860465e+02	6.306616e+01
198           	trup	1.069930e+01	3.860409e+02	6.301786e+01
199           	trup	1.005654e+01	3.860365e+02	6.297024e+01
200           	trup	9.481551e+00	3.860335e+02	6.292331e+01
201           	trup	9.020599e+00	3.860318e+02	6.287706e+01
202           	trup	8.727067e+00	3.860314e+02	6.283150e+01
203           	trup	8.651194e+00	3.860323e+02	6.278662e+01
204           	trup	8.825722e+00	3.860345e+02	6.274240e+01
205           	trup	9.252386e+00	3.860379e+02	6.269886e+01
206           	trup	9.904776e+00	3.860426e+02	6.265597e+01
207           	trup	1.074259e+01	3.860484e+02	6.261374e+01
208           	trup	1.172453e+01	3.860553e+02	6.257215e+01
209           	trup	1.233299e+01	3.860634e+02	6.253120e+01
210           	trup	1.153723e+01	3.860726e+02	6.249089e+01
211           	trup	1.072043e+01	3.860828e+02	6.245121e+01
212           	trup	9.933706e+00	3.860940e+02	6.241215e+01
213           	trup	9.222211e+00	3.861061e+02	6.237371e+01
214           	trup	8.647910e+00	3.861191e+02	6.233588e+01
215           	trup	8.286489e+00	3.861328e+02	6.229866e+01
216           	trup	8.207107e+00	3.861472e+02	6.226206e+01
217           	trup	8.446953e+00	3.861622e+02	6.222608e+01
218           	trup	8.995217e+00	3.861778e+02	6.219071e+01
219           	trup	9.801385e+00	3.861938e+02	6.215594e+01
220           	trup	1.079798e+01	3.862102e+02	6.212175e+01
221           	trup	1.192712e+01	3.862269e+02	6.208814e+01
222           	trup	1.270595e+01	3.862438e+02	6.205509e+01
223           	trup	1.272948e+01	3.862609e+02	6.202261e+01
224           	trup	1.275208e+01	3.862782e+02	6.199069e+01
225           	trup	1.277372e+01	3.862955e+02	6.195932e+01
226           	trup	1.279418e+01	3.863128e+02	6.192850e+01
227           	trup	1.281319e+01	3.863299e+02	6.189821e+01
228           	trup	1.283047e+01	3.863470e+02	6.186847e+01
229           	trup	1.284588e+01	3.863639e+02	6.183926e+01
230           	trup	1.285937e+01	3.863806e+02	6.181057e+01
231           	trup	1.287089e+01	3.863969e+02	6.178240e+01
232           	trup	1.288068e+01	3.864130e+02	6.175473e+01
233           	trup	1.288890e+01	3.864286e+02	6.172756e+01
234           	trup	1.289583e+01	3.864440e+02	6.170091e+01
235           	trup	1.290168e+01	3.864590e+02	6.167478e+01
236           	trup	1.290660e+01	3.864737e+02	6.164915e+01
237           	trup	1.291080e+01	3.864881e+02	6.162402e+01
238           	trup	1.291439e+01	3.865021e+02	6.159939e+01
239           	trup	1.291753e+01	3.865157e+02	6.157526e+01
240           	trup	1.292033e+01	3.865289e+02	6.155163e+01
241           	trup	1.292287e+01	3.865418e+02	6.152848e+01
242           	trup	1.292515e+01	3.865544e+02	6.150582e+01
243           	trup	1.292717e+01	3.865667e+02	6.148364e+01
244           	trup	1.292888e+01	3.865788e+02	6.146195e+01
245           	trup	1.293026e+01	3.865907e+02	6.144075e+01
246           	trup	1.293124e+01	3.866026e+02	6.142002e+01
247           	trup	1.293178e+01	3.866145e+02	6.139975e+01
248           	trup	1.293186e+01	3.866264e+02	6.137994e+01
249           	trup	1.293127e+01	3.866383e+02	6.136057e+01
250           	trup	1.292983e+01	3.866503e+02	6.134164e+01
251           	trup	1.292740e+01	3.866624e+02	6.132316e+01
252           	trup	1.292386e+01	3.866747e+02	6.130514e+01
253           	trup	1.291899e+01	3.866872e+02	6.128751e+01
254           	trup	1.291242e+01	3.867001e+02	6.127017e+01
255           	trup	1.290404e+01	3.867134e+02	6.125316e+01
256           	trup	1.289398e+01	3.867271e+02	6.123652e+01
257           	trup	1.288262e+01	3.867412e+02	6.122027e+01
258           	trup	1.287051e+01	3.867557e+02	6.120442e+01
259           	trup	1.285820e+01	3.867707e+02	6.118896e+01
260           	trup	1.284693e+01	3.867863e+02	6.117387e+01
261           	trup	1.283824e+01	3.868024e+02	6.115917e+01
262           	trup	1.283272e+01	3.868192e+02	6.114483e+01
263           	trup	1.283028e+01	3.868367e+02	6.113087e+01
264           	trup	1.282902e+01	3.868549e+02	6.111727e+01
265           	trup	1.279525e+01	3.868740e+02	6.110404e+01
266           	trup	1.283595e+01	3.868939e+02	6.109118e+01
267           	trup	1.284025e+01	3.869147e+02	6.107871e+01
268           	trup	1.254316e+01	3.869364e+02	6.106660e+01
269           	trup	1.223074e+01	3.869589e+02	6.105484e+01
270           	trup	1.193589e+01	3.869821e+02	6.104345e+01
271           	trup	1.165722e+01	3.870060e+02	6.103240e+01
272           	trup	1.139370e+01	3.870306e+02	6.102170e+01
