# y+ ()       
# Time        	patch         	min           	max           	average       
200           	sphere_1m	2.504424e+02	3.554667e+03	1.978236e+03
400           	sphere_1m	1.179521e+02	3.517625e+03	1.940437e+03
600           	sphere_1m	1.263962e+02	3.502645e+03	1.922761e+03
