# y+ ()       
# Time        	patch         	min           	max           	average       
200           	sfera1	2.106070e+02	1.480401e+04	2.847280e+03
200           	sfera2	1.673057e+02	1.462961e+04	2.646711e+03
400           	sfera1	1.357903e+02	1.472963e+04	2.713223e+03
400           	sfera2	2.174098e+02	1.461070e+04	2.665252e+03
600           	sfera1	1.946588e+02	1.464019e+04	2.663173e+03
600           	sfera2	1.860241e+02	1.450534e+04	2.602082e+03
800           	sfera1	2.042068e+02	1.462792e+04	2.660388e+03
800           	sfera2	1.615804e+02	1.446589e+04	2.581835e+03
