# y+ ()       
# Time        	patch         	min           	max           	average       
200           	sfera1	2.106070e+02	1.480401e+04	2.847280e+03
200           	sfera2	1.673057e+02	1.462961e+04	2.646711e+03
400           	sfera1	1.355895e+02	1.472963e+04	2.713241e+03
400           	sfera2	2.173687e+02	1.461072e+04	2.665269e+03
600           	sfera1	1.946459e+02	1.464021e+04	2.663166e+03
600           	sfera2	1.859993e+02	1.450534e+04	2.602095e+03
800           	sfera1	2.042170e+02	1.462793e+04	2.660387e+03
800           	sfera2	1.615912e+02	1.446591e+04	2.581850e+03
